source_file,cluster,cluster_eicu,cluster_mimic,cosine_sim,dataset_eicu,dataset_mimic,distance,distance_outcome,eicu_cluster,eicu_falencia45,eicu_falencia_normal,eicu_falencia_rate,eicu_mortality,eicu_mortality_rate,eicu_n,falencia_45_rate_eicu,falencia_45_rate_mimic,falencia_60_rate_eicu,falencia_60_rate_mimic,falencia_eicu,falencia_mimic,falencia_normal_rate_eicu,falencia_normal_rate_mimic,feature,glucose_cumul_eicu,glucose_cumul_mimic,glucose_cumul_p25_eicu,glucose_cumul_p25_mimic,glucose_cumul_p50_eicu,glucose_cumul_p50_mimic,glucose_cumul_p75_eicu,glucose_cumul_p75_mimic,glucose_cumul_p90_eicu,glucose_cumul_p90_mimic,glucose_cumul_p99_eicu,glucose_cumul_p99_mimic,glucose_instab_eicu,glucose_instab_mimic,glucose_instab_p25_eicu,glucose_instab_p25_mimic,glucose_instab_p50_eicu,glucose_instab_p50_mimic,glucose_instab_p75_eicu,glucose_instab_p75_mimic,glucose_instab_p90_eicu,glucose_instab_p90_mimic,glucose_instab_p99_eicu,glucose_instab_p99_mimic,glucose_intens_eicu,glucose_intens_mimic,glucose_intens_p25_eicu,glucose_intens_p25_mimic,glucose_intens_p50_eicu,glucose_intens_p50_mimic,glucose_intens_p75_eicu,glucose_intens_p75_mimic,glucose_intens_p90_eicu,glucose_intens_p90_mimic,glucose_intens_p99_eicu,glucose_intens_p99_mimic,max_glucose_eicu,max_glucose_mimic,max_glucose_p25_eicu,max_glucose_p25_mimic,max_glucose_p50_eicu,max_glucose_p50_mimic,max_glucose_p75_eicu,max_glucose_p75_mimic,max_glucose_p90_eicu,max_glucose_p90_mimic,max_glucose_p99_eicu,max_glucose_p99_mimic,mean_abs_diff,mean_glucose_eicu,mean_glucose_mimic,mean_glucose_p25_eicu,mean_glucose_p25_mimic,mean_glucose_p50_eicu,mean_glucose_p50_mimic,mean_glucose_p75_eicu,mean_glucose_p75_mimic,mean_glucose_p90_eicu,mean_glucose_p90_mimic,mean_glucose_p99_eicu,mean_glucose_p99_mimic,mimic_best_cluster,mimic_cluster,mimic_falencia45,mimic_falencia_45_rate,mimic_falencia_normal,mimic_mortality,mimic_mortality_rate,mimic_n,min_glucose_eicu,min_glucose_mimic,min_glucose_p25_eicu,min_glucose_p25_mimic,min_glucose_p50_eicu,min_glucose_p50_mimic,min_glucose_p75_eicu,min_glucose_p75_mimic,min_glucose_p90_eicu,min_glucose_p90_mimic,min_glucose_p99_eicu,min_glucose_p99_mimic,mortality_eicu,mortality_mimic,mortality_rate_eicu,mortality_rate_mimic,n_eicu,n_meas_glucose_eicu,n_meas_glucose_mimic,n_meas_glucose_p25_eicu,n_meas_glucose_p25_mimic,n_meas_glucose_p50_eicu,n_meas_glucose_p50_mimic,n_meas_glucose_p75_eicu,n_meas_glucose_p75_mimic,n_meas_glucose_p90_eicu,n_meas_glucose_p90_mimic,n_meas_glucose_p99_eicu,n_meas_glucose_p99_mimic,n_mimic
results_compare_k4_match_by_normal.csv,,,,,,,0.4916589287028647,,0.0,,0.1033742241049627,,0.1133468655311387,,67986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,0.594582493843743,0.1343929557495709,,13401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_match_by_normal.csv,,,,,,,0.2901916199024009,,1.0,,0.3054602416828286,,0.1095032075190213,,40218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,0.594582493843743,0.1343929557495709,,13401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_match_by_normal.csv,,,,,,,0.4658695133679781,,2.0,,0.1335293207488782,,0.067576976636237,,51704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,0.594582493843743,0.1343929557495709,,13401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_match_by_normal.csv,,,,,,,0.4121681756921473,,3.0,,0.1905773592489449,,0.0527690850104791,,34831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,0.594582493843743,0.1343929557495709,,13401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_profile_match.csv,,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_profile_match.csv,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_profile_match.csv,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_profile_match.csv,,3.0,3.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_top_diffs.csv,,,,,,,,,,,,,,,,,,,,,,,,glucose_cumul_p99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346301.2903906254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_top_diffs.csv,,,,,,,,,,,,,,,,,,,,,,,,glucose_cumul_p90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501191.4115234376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_top_diffs.csv,,,,,,,,,,,,,,,,,,,,,,,,glucose_cumul_p50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169935.4326171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_top_diffs.csv,,,,,,,,,,,,,,,,,,,,,,,,n_meas_glucose_p99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5028.846249999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
